;address;floor;link_url;rooms;square;price;uptime
1332;华绣路255弄1-17号,华绣路179弄;高层/18层;3368491;2室1厅;58;2500;20160822
1343;赤峰路600弄1-18号,东体育会路80;高层/6层;3396040;1室1厅;42;4300;20160903
1344;宛平南路144弄1-8号;低层/6层;3395665;1室0厅;57;2800;20160903
1347;国权北路380弄;低层/6层;3394336;2室1厅;56;4000;20160902
1348;呼玛五村;高层/6层;3392693;2室1厅;65;3500;20160902
1349;延吉中路25弄;中层/14层;3392486;4室1厅;119;2500;20160902
1351;远东一村;高层/6层;3389927;1室1厅;36;2800;20160901
1354;康平路203弄;低层/3层;3389753;1室1厅;38;3500;20160901
1355;曹杨三村（不包含269-281号）;高层/6层;3388804;1室1厅;37;3700;20160831
1360;川环南路898弄,川环南路918弄;低层/6层;3384126;2室1厅;74;3500;20160829
1362;南丹路286弄;中层/3层;3382798;1室0厅;30;3800;20160829
1364;临泽路88弄, 临泽路89弄, 临泽路1;高层/17层;3382569;1室1厅;39;3000;20160829
1367;东三街15弄;高层/6层;3382105;2室1厅;53;3100;20160828
1369;颛兴路180弄;低层/6层;3380339;2室2厅;76;1600;20160828
1370;江苏北路111弄;高层/6层;3379912;1室0厅;34;4200;20160827
1372;锦秋路1588弄;低层/18层;3378523;2室0厅;52;3800;20160827
1374;环林西路848弄;低层/7层;3376437;2室1厅;76;1800;20160826
1375;锦屏路71弄1-23号;高层/6层;3375357;1室1厅;37;4300;20160826
1413;双单路999弄;高层/27层;3397703;1室1厅;52;3300;20160904
1446;万德路45弄,万德路51弄,万德路67弄;低层/6层;3379784;1室1厅;45;3800;20160827
1447;永泰路133弄;中层/18层;3379688;1室0厅;35;2600;20160827
1448;番禺路1160弄,番禺路1161弄,番禺;中层/7层;3379037;1室1厅;38;4200;20160827
1452;祁连山路2777弄;低层/6层;3378678;2室1厅;55;3000;20160827
1457;申江路985弄;高层/6层;3374803;3室1厅;84;3500;20160825
1459;莲花南路565弄;高层/6层;3374449;1室0厅;33;3300;20160825
1460;白丽路701弄;中层/6层;3371487;2室1厅;58;3500;20160824
1462;创新西路75弄;高层/6层;3367353;2室2厅;78;2800;20160822
1514;济阳路65弄,西营路114弄,德州路46;低层/6层;3377205;2室1厅;58;4300;20160826
1521;水城路386弄,水城路388弄,水城路4;高层/6层;3376321;1室1厅;39;4400;20160826
1530;栖山路401弄1-6号;低层/24层;3372669;1室1厅;51;4300;20160824
